Model,Outcome,N,R2,AI_USE_B,AI_USE_SE,AI_USE_p
Model A,CREATIVITY_GENERAL,245,0.2545812930391189,-0.21606362434352966,0.0464574386027128,5.4973035942455675e-06
Model B,AUTHORSHIP_SCORE,245,0.2230700743088856,0.40632717800558016,0.05694745119856655,1.1695047018108725e-11
